Component Name,Quantity,Price (inr)
Eduway MDF sheet 10*12,4,228
Pre-Filter,1,331
HEPA-Filter,1,256
Activated Carbon filter,1,299
Ambrane Type-c cable,1,179
12v DC Fan,2,358
SmartElex ESP32-WROOM,1,825
MT3608 DC-DC Module,2,74
18650 Li-ion Battery,2,310
TP4056 Charging module,1,16
0.96 oled display,1,165
SPST rocker switch,1,25
18650 2 cell holder,1,21
Vero Board,2,82
Wire packet,2,118
Digital Vernier Caliper,1,2400
M2 & M2.5 3D Printing assorted screw pack,1,1940
NUMAKERS PETG Filament,1,850
Total amt,26,             ~8500
